iter	Logloss
0	0.6847649544
1	0.6767914414
2	0.6691302268
3	0.6619573718
4	0.6551973513
5	0.6486839903
6	0.6423925507
7	0.6365375233
8	0.6309484694
9	0.6254605194
10	0.6205018643
11	0.6158016318
12	0.6111755487
13	0.6068510679
14	0.6028135415
15	0.5988860373
16	0.595152877
17	0.5915829895
18	0.588288161
19	0.5850451641
20	0.5820843203
21	0.5791190733
22	0.5762681469
23	0.5737256785
24	0.571222039
25	0.5688183449
26	0.5665735399
27	0.5643894855
28	0.5623647872
29	0.560365058
30	0.5584490447
31	0.5566987212
32	0.5549281312
33	0.5533157442
34	0.5518135562
35	0.5502692857
36	0.5488246878
37	0.5475033556
38	0.5461858485
39	0.5449564957
40	0.5437841668
41	0.5427169438
42	0.5415780018
43	0.5405787647
44	0.5395464873
45	0.5385431337
46	0.5376252702
47	0.5367592509
48	0.5359532524
49	0.5351911075
50	0.5344253256
51	0.5336800736
52	0.5330137323
53	0.5323527395
54	0.5316454475
55	0.5310061569
56	0.5304426506
57	0.529956551
58	0.5295055792
59	0.5290899231
60	0.528482468
61	0.5280650358
62	0.5276359589
63	0.5272010349
64	0.5268451835
65	0.5264523853
66	0.5261019508
67	0.5258043573
68	0.5254969255
69	0.5251209611
70	0.5247388182
71	0.5244283989
72	0.5241189801
73	0.5238213573
74	0.5235301248
75	0.523242301
76	0.5230189495
77	0.522759721
78	0.5224579343
79	0.5222476307
80	0.5219904076
81	0.5217524483
82	0.5214852233
83	0.5213134144
84	0.5210485859
85	0.5208555502
86	0.5206494883
87	0.5204050761
88	0.5201357849
89	0.5199311556
90	0.5197575394
91	0.5195789247
92	0.5193933406
93	0.5192041492
94	0.5191039128
95	0.5188684024
96	0.5187238098
97	0.5185899757
98	0.518424834
99	0.5182441772
100	0.5180747118
101	0.5179109005
102	0.5177599528
103	0.517552539
104	0.5173892978
105	0.5172568529
106	0.5171457266
107	0.5169970415
108	0.516762063
109	0.5166070551
110	0.5163777221
111	0.5163102584
112	0.5162030931
113	0.516044053
114	0.5158874201
115	0.5157136519
116	0.515602906
117	0.5155812276
118	0.5154442432
119	0.5153187195
120	0.5152923319
121	0.5151696762
122	0.5149811668
123	0.5149055095
124	0.5147985485
125	0.5146959882
126	0.514605892
127	0.5145204858
128	0.5143824155
129	0.5142408981
130	0.5141119347
131	0.5139769093
132	0.5138964107
133	0.5137802936
134	0.5135456081
135	0.5134175615
136	0.5132768521
137	0.513194552
138	0.5130967117
139	0.5129640365
140	0.512909012
141	0.5127695726
142	0.5125956289
143	0.5124525577
144	0.5123647765
145	0.512236449
146	0.5120786526
