iter	Passed	Remaining
0	7	7034
1	12	6267
2	18	6135
3	24	5994
4	28	5698
5	34	5685
6	40	5676
7	45	5654
8	50	5614
9	57	5648
10	60	5461
11	64	5291
12	70	5319
13	75	5345
14	80	5275
15	86	5307
16	92	5338
17	98	5347
18	102	5268
19	108	5293
20	112	5238
21	118	5255
22	123	5259
23	127	5182
24	134	5229
25	139	5225
26	145	5232
27	150	5235
28	156	5241
29	162	5238
30	167	5239
31	173	5245
32	179	5251
33	184	5246
34	189	5227
35	195	5235
36	201	5243
37	207	5240
38	212	5248
39	218	5252
40	224	5254
41	230	5260
42	236	5257
43	241	5255
44	247	5257
45	253	5256
46	259	5252
47	264	5248
48	270	5249
49	276	5252
50	282	5257
51	288	5258
52	293	5252
53	299	5253
54	305	5249
55	311	5254
56	317	5253
57	323	5249
58	329	5247
59	332	5211
60	338	5215
61	343	5199
62	349	5196
63	355	5198
64	361	5196
65	366	5191
66	372	5190
67	376	5166
68	381	5150
69	387	5147
70	393	5148
71	399	5151
72	405	5152
73	412	5155
74	417	5150
75	423	5148
76	429	5149
77	435	5146
78	441	5142
79	446	5137
80	452	5133
81	458	5130
82	464	5128
83	470	5125
84	475	5123
85	481	5116
86	486	5108
87	492	5106
88	498	5100
89	503	5094
90	509	5090
91	515	5084
92	520	5080
93	526	5078
94	532	5075
95	538	5074
96	545	5073
97	550	5069
98	558	5083
99	566	5098
100	573	5104
101	580	5106
102	586	5106
103	593	5109
104	599	5112
105	606	5112
106	612	5112
107	618	5110
108	625	5109
109	631	5110
110	638	5111
111	644	5109
112	650	5106
113	657	5107
114	663	5108
115	670	5112
116	678	5116
117	681	5094
118	688	5095
119	694	5092
120	699	5078
121	705	5078
122	711	5076
123	718	5076
124	725	5076
125	731	5074
126	738	5074
127	744	5071
128	750	5070
129	757	5071
130	764	5073
131	771	5075
132	778	5073
133	785	5074
134	791	5069
135	797	5068
136	804	5064
137	810	5061
138	817	5061
139	823	5057
140	829	5055
141	858	5184
142	867	5201
143	906	5388
144	917	5407
145	927	5424
146	937	5439
147	947	5453
148	956	5462
149	964	5467
150	973	5473
151	983	5487
152	992	5496
153	1003	5510
154	1018	5550
155	1028	5563
156	1038	5574
157	1054	5620
158	1070	5661
159	1080	5672
160	1091	5690
161	1116	5774
162	1131	5812
163	1140	5812
164	1152	5830
165	1163	5846
166	1172	5850
167	1188	5884
168	1199	5899
169	1209	5904
170	1218	5907
171	1226	5902
172	1234	5900
173	1243	5904
174	1251	5898
175	1258	5893
176	1267	5892
177	1276	5896
178	1285	5895
179	1294	5899
180	1301	5890
181	1308	5883
182	1315	5872
183	1321	5861
184	1331	5866
185	1339	5864
186	1347	5860
187	1355	5854
188	1361	5843
189	1367	5831
190	1374	5822
191	1380	5810
192	1387	5802
193	1393	5789
194	1399	5775
195	1405	5763
196	1410	5749
197	1416	5736
198	1422	5725
199	1428	5712
200	1433	5698
201	1439	5687
202	1445	5674
203	1448	5652
204	1454	5642
205	1460	5630
206	1466	5618
207	1472	5607
208	1479	5597
209	1487	5595
210	1494	5587
211	1501	5579
212	1508	5572
213	1513	5560
214	1522	5558
215	1527	5546
216	1535	5540
217	1542	5532
218	1548	5520
219	1555	5516
220	1561	5505
221	1568	5497
222	1575	5488
223	1581	5477
224	1588	5470
225	1594	5459
226	1600	5451
227	1606	5441
228	1612	5428
229	1619	5422
230	1625	5411
231	1631	5402
232	1638	5392
233	1643	5381
234	1651	5377
235	1657	5366
236	1664	5357
237	1670	5349
238	1676	5338
239	1683	5331
240	1689	5319
241	1695	5310
242	1701	5299
243	1706	5287
244	1712	5277
245	1718	5266
246	1724	5256
247	1730	5246
248	1736	5237
249	1742	5226
250	1748	5216
251	1753	5205
252	1759	5195
253	1765	5184
254	1771	5176
255	1778	5168
256	1785	5162
257	1793	5156
258	1800	5151
259	1806	5140
260	1812	5131
261	1817	5120
262	1823	5110
263	1829	5100
264	1835	5090
265	1841	5082
266	1847	5071
267	1853	5061
268	1859	5053
269	1866	5047
270	1873	5038
271	1879	5031
272	1886	5022
273	1893	5018
274	1900	5009
275	1907	5002
276	1912	4993
277	1918	4983
278	1926	4979
279	1934	4974
280	1944	4976
281	1951	4969
282	1959	4963
283	1964	4953
284	1971	4946
