iter	Passed	Remaining
0	303	302976
1	305	152669
2	307	102129
3	308	76850
4	310	61708
5	313	51897
6	314	44667
7	316	39239
8	321	35385
9	322	31948
10	324	29139
11	325	26827
12	327	24879
13	329	23224
14	335	22047
15	337	20731
16	338	19584
17	340	18554
18	341	17642
19	343	16813
20	344	16060
21	345	15379
22	350	14875
23	351	14304
24	353	13773
25	354	13285
26	355	12828
27	357	12412
28	359	12021
29	360	11652
30	361	11311
31	365	11046
32	366	10750
33	368	10467
34	369	10200
35	371	9946
36	373	9711
37	375	9497
38	379	9342
39	381	9162
40	383	8974
41	385	8789
42	387	8614
43	388	8444
44	390	8280
45	391	8124
46	395	8022
47	397	7879
48	398	7741
49	400	7613
50	402	7493
51	405	7396
52	409	7323
53	411	7214
54	413	7105
55	415	6998
56	416	6894
57	418	6794
58	420	6702
59	421	6607
60	425	6544
61	426	6453
62	428	6367
63	430	6288
64	431	6207
65	433	6137
66	435	6062
67	436	5988
68	441	5954
69	443	5887
70	444	5819
71	446	5748
72	447	5684
73	449	5622
74	450	5559
75	452	5498
76	455	5462
77	457	5405
78	458	5347
79	460	5291
80	461	5235
81	463	5184
82	463	5125
83	465	5075
84	467	5027
85	470	4996
86	472	4958
87	474	4912
88	475	4867
89	476	4822
90	478	4778
91	479	4736
92	481	4695
93	485	4675
94	486	4634
95	487	4594
96	489	4555
97	490	4518
98	492	4481
99	493	4444
100	495	4407
101	496	4374
102	500	4356
103	501	4320
104	503	4289
105	504	4257
106	506	4225
107	507	4193
108	509	4162
109	510	4132
110	514	4116
111	515	4087
112	517	4059
113	518	4030
114	520	4004
115	521	3975
116	522	3944
117	524	3917
118	525	3891
119	530	3889
120	532	3867
121	533	3842
122	535	3817
123	537	3799
124	539	3776
125	540	3752
126	545	3746
127	547	3730
128	549	3710
129	550	3686
130	552	3664
131	553	3642
132	556	3625
133	559	3617
134	561	3597
135	562	3575
136	564	3554
137	565	3533
138	567	3513
139	568	3492
140	570	3472
141	570	3449
142	574	3440
143	575	3420
144	576	3399
145	577	3379
146	578	3359
147	580	3339
148	581	3321
149	582	3302
150	583	3283
151	585	3264
152	586	3246
153	589	3236
154	590	3218
155	591	3200
156	592	3183
157	594	3166
158	595	3149
159	596	3132
160	597	3113
161	598	3097
162	600	3081
163	603	3075
164	604	3059
165	606	3045
166	607	3030
167	608	3015
168	610	3000
169	611	2985
170	612	2970
171	613	2955
172	617	2953
173	619	2941
174	621	2928
175	622	2915
176	623	2901
177	625	2887
178	626	2873
179	627	2859
180	629	2846
181	630	2832
182	632	2825
183	634	2813
184	635	2799
185	636	2786
186	638	2774
187	639	2763
188	641	2750
