iter	RMSE
0	48910.36648
1	45690.03749
2	42917.37918
3	40551.0686
4	38436.76169
5	36603.42539
6	35136.88792
7	33657.26194
8	32400.192
9	31347.05892
10	30496.83044
11	29654.59993
12	28974.26183
13	28396.47867
14	27881.29693
15	27302.88416
16	26891.50167
17	26533.85883
18	26237.24245
19	25972.24022
20	25699.68679
21	25433.02375
22	25226.56899
23	24989.92282
24	24810.88442
25	24656.93506
26	24504.86457
27	24377.37281
28	24250.62392
29	24147.61642
30	24026.89421
31	23909.28261
32	23794.98134
33	23698.84766
34	23611.98039
35	23532.05395
36	23434.15584
37	23355.26211
38	23278.31841
39	23199.56179
40	23127.39032
41	23005.46531
42	22935.13918
43	22874.46313
44	22812.12633
45	22756.19028
46	22691.26983
47	22607.48197
48	22536.45776
49	22475.73889
50	22423.98801
51	22355.73517
52	22304.4694
53	22228.09862
54	22179.62666
55	22130.94657
56	22085.48488
57	22034.62346
58	21987.05725
59	21944.32624
60	21886.18476
61	21841.00757
62	21797.05282
63	21761.32354
64	21700.74939
65	21671.102
66	21637.24799
67	21603.71092
68	21570.93539
69	21536.27542
70	21505.60832
71	21468.57192
72	21433.93638
73	21405.87854
74	21369.18192
75	21331.24523
76	21303.17092
77	21270.45525
78	21242.44559
79	21204.56971
80	21180.47433
81	21152.91743
82	21132.57913
83	21102.92683
84	21076.28323
85	21054.35629
86	21027.40365
87	21005.39437
88	20980.08073
89	20960.07864
90	20941.3954
91	20916.75479
92	20897.48409
93	20880.39093
94	20857.1378
95	20834.04946
96	20819.54995
97	20797.41393
98	20779.49856
99	20759.86175
100	20741.51715
101	20723.15865
102	20702.68461
103	20682.77625
104	20657.38691
105	20640.85436
106	20623.60078
107	20603.09351
108	20585.7515
109	20566.25362
110	20550.38959
111	20534.98565
112	20512.7774
113	20496.46959
114	20481.90097
115	20467.63844
116	20453.45398
117	20440.8689
118	20427.76324
119	20410.70071
120	20397.37514
121	20384.34833
122	20368.74521
123	20356.64167
124	20343.4686
125	20331.03616
126	20317.90525
127	20306.19334
128	20288.16362
129	20277.01934
130	20265.75939
131	20251.623
132	20237.60794
133	20226.09656
134	20216.16291
135	20206.68611
136	20196.71054
137	20187.74605
138	20177.32822
139	20167.14839
140	20155.72678
141	20139.21675
142	20127.03966
143	20107.25952
144	20090.17158
145	20080.30751
146	20071.21858
147	20061.78985
148	20052.71401
149	20044.78921
150	20026.83604
151	20016.96555
152	20005.43193
153	19997.21092
154	19986.30451
155	19979.17756
156	19968.43718
157	19961.40302
158	19954.1764
159	19940.40708
160	19933.33148
161	19923.90962
162	19916.37427
163	19906.44356
164	19894.55492
165	19884.19367
166	19876.25845
167	19868.39766
168	19855.48524
169	19846.52993
170	19837.74832
171	19826.46769
172	19818.34595
173	19811.41098
174	19805.5751
