iter	Passed	Remaining
0	6	6591
1	12	6365
2	19	6377
3	25	6302
4	31	6296
5	37	6283
6	44	6294
7	50	6306
8	56	6269
9	62	6228
10	68	6198
11	75	6193
12	81	6174
13	87	6159
14	93	6151
15	99	6138
16	105	6122
17	112	6116
18	118	6107
19	124	6107
20	130	6094
21	136	6089
22	142	6071
23	148	6055
24	155	6050
25	161	6036
26	167	6036
27	173	6026
28	179	6000
29	185	6007
30	192	6008
31	198	5995
32	204	5981
33	209	5962
34	216	5957
35	221	5940
36	227	5929
37	233	5917
38	239	5898
39	245	5885
40	250	5869
41	256	5861
42	263	5856
43	269	5848
44	275	5848
45	281	5834
46	286	5818
47	292	5808
48	298	5793
49	304	5792
50	311	5788
51	316	5778
52	322	5764
53	328	5758
54	334	5748
55	340	5736
56	346	5725
57	351	5713
58	357	5701
59	363	5690
60	369	5688
61	374	5673
62	380	5661
63	386	5651
64	392	5642
65	398	5634
66	403	5622
67	409	5615
68	415	5611
69	421	5602
70	428	5600
71	433	5591
72	439	5579
73	445	5573
74	451	5563
75	457	5557
76	462	5549
77	468	5537
78	474	5533
79	480	5524
80	486	5516
81	492	5512
82	498	5505
83	504	5502
84	511	5505
85	518	5511
86	525	5518
87	532	5523
88	540	5527
89	547	5531
90	554	5541
91	562	5551
92	569	5551
93	576	5555
94	583	5559
95	590	5560
96	597	5563
97	605	5569
98	612	5572
99	619	5573
100	626	5574
101	633	5574
102	640	5580
103	647	5581
104	655	5590
105	662	5591
106	669	5589
107	676	5589
108	683	5587
109	690	5588
110	697	5587
111	704	5586
112	711	5588
113	718	5586
114	725	5585
115	732	5585
116	739	5583
117	746	5582
118	753	5579
119	761	5580
120	768	5579
121	774	5575
122	781	5575
123	788	5572
124	795	5571
125	802	5568
126	809	5567
127	816	5563
128	824	5564
129	831	5561
130	837	5556
131	844	5552
132	851	5553
133	858	5549
134	865	5543
135	871	5537
136	878	5532
137	885	5530
138	893	5532
139	901	5537
140	909	5541
141	918	5547
142	926	5552
143	934	5557
144	944	5568
145	952	5574
146	962	5582
147	971	5591
148	979	5594
149	987	5594
150	996	5601
151	1005	5607
152	1013	5609
153	1021	5614
154	1031	5620
155	1039	5621
156	1046	5616
157	1051	5605
158	1058	5601
159	1064	5590
160	1071	5582
161	1077	5572
162	1083	5562
163	1089	5555
164	1095	5545
165	1102	5537
166	1108	5527
167	1114	5518
168	1120	5509
169	1126	5499
170	1132	5491
171	1139	5483
172	1145	5476
173	1152	5468
174	1157	5457
175	1163	5446
176	1170	5440
177	1176	5431
178	1182	5422
